label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
A,0.000000,0.000000,0.199089,-0.080721,0.349708,-0.384189,0.378372,-0.749451,0.402076,-1.000000,0.266883,-0.738019,0.232123,-0.989143,0.216557,-0.727257,0.231190,-0.598281,0.137079,-0.759233,0.105741,-0.998323,0.110086,-0.658951,0.138752,-0.556281,0.013830,-0.745258,-0.022396,-0.946430,-0.001010,-0.617180,0.036345,-0.515710,-0.113789,-0.698080,-0.137577,-0.842437,-0.105834,-0.611266,-0.069568,-0.521093
A,0.000000,0.000000,0.198958,-0.082137,0.349878,-0.385866,0.378383,-0.749895,0.401351,-1.000000,0.268652,-0.737440,0.233601,-0.991015,0.217503,-0.730295,0.232978,-0.594341,0.138149,-0.757867,0.106841,-0.999201,0.109594,-0.660862,0.139449,-0.551050,0.014942,-0.743244,-0.021169,-0.947180,-0.001242,-0.619527,0.036567,-0.512600,-0.112866,-0.696130,-0.136384,-0.844955,-0.106002,-0.614843,-0.069496,-0.521872
A,0.000000,0.000000,0.196940,-0.079438,0.347380,-0.385633,0.375329,-0.751873,0.398920,-1.000000,0.266890,-0.739892,0.230601,-0.987539,0.214846,-0.726684,0.229941,-0.594021,0.135798,-0.761219,0.103650,-0.995182,0.108186,-0.656135,0.137074,-0.550387,0.012367,-0.746162,-0.024058,-0.945746,-0.002535,-0.616732,0.034164,-0.513275,-0.115449,-0.698039,-0.138953,-0.839391,-0.106861,-0.607963,-0.070607,-0.519148
A,0.000000,0.000000,0.196457,-0.075819,0.345524,-0.383194,0.374898,-0.749982,0.398999,-1.000000,0.265178,-0.737458,0.229543,-0.987162,0.213084,-0.725223,0.227498,-0.593296,0.134758,-0.757531,0.102751,-0.996394,0.107157,-0.656828,0.135933,-0.551523,0.011428,-0.743536,-0.025498,-0.942189,-0.002874,-0.613904,0.034862,-0.511516,-0.115793,-0.696849,-0.140801,-0.839912,-0.107979,-0.609314,-0.070608,-0.520244
A,0.000000,0.000000,0.197734,-0.077223,0.347771,-0.386709,0.378346,-0.752999,0.402540,-1.000000,0.267840,-0.735577,0.232895,-0.993066,0.214905,-0.731796,0.228950,-0.596883,0.136622,-0.755280,0.105550,-0.997344,0.108415,-0.657449,0.136469,-0.552682,0.013052,-0.741678,-0.020970,-0.946548,-0.001271,-0.617588,0.034412,-0.515921,-0.114021,-0.697479,-0.135809,-0.846927,-0.105886,-0.614943,-0.072259,-0.525139
A,0.000000,0.000000,0.197195,-0.085953,0.344509,-0.389427,0.373223,-0.751050,0.395724,-1.000000,0.266438,-0.739956,0.232037,-0.996752,0.216229,-0.736300,0.229770,-0.600631,0.134798,-0.760531,0.103802,-0.999593,0.106818,-0.660094,0.133614,-0.557469,0.010287,-0.745449,-0.024515,-0.947139,-0.004944,-0.618609,0.029706,-0.520147,-0.117926,-0.697336,-0.139913,-0.847430,-0.109398,-0.616199,-0.076345,-0.528114
A,0.000000,0.000000,0.193557,-0.079227,0.341932,-0.384411,0.371822,-0.748423,0.395461,-1.000000,0.263596,-0.739660,0.227560,-0.989091,0.207799,-0.725949,0.221010,-0.593060,0.132371,-0.758979,0.099624,-0.989696,0.100755,-0.647909,0.131568,-0.554253,0.007483,-0.745372,-0.027898,-0.942042,-0.009632,-0.613561,0.029721,-0.522519,-0.121220,-0.700887,-0.142722,-0.833514,-0.113519,-0.603571,-0.078055,-0.525973
A,0.000000,0.000000,0.191682,-0.081952,0.338626,-0.385226,0.366831,-0.749205,0.394014,-1.000000,0.259003,-0.737111,0.221415,-0.985390,0.204442,-0.723386,0.219259,-0.593408,0.127818,-0.756478,0.095254,-0.987761,0.098189,-0.646747,0.128350,-0.552797,0.004581,-0.741777,-0.031221,-0.934667,-0.011003,-0.606972,0.027753,-0.514451,-0.121662,-0.695973,-0.145974,-0.834291,-0.115273,-0.605275,-0.079674,-0.522536
A,0.000000,0.000000,0.194986,-0.071382,0.345426,-0.385532,0.373965,-0.754975,0.401914,-1.000000,0.262898,-0.739269,0.229633,-0.998329,0.211021,-0.732215,0.222819,-0.598157,0.130084,-0.756180,0.101414,-0.995201,0.104691,-0.648869,0.131628,-0.555242,0.006371,-0.740565,-0.026617,-0.940697,-0.005663,-0.609010,0.029527,-0.518338,-0.120833,-0.696859,-0.142868,-0.842810,-0.111500,-0.609180,-0.078845,-0.526158
A,0.000000,0.000000,0.195745,-0.079169,0.345710,-0.384128,0.373918,-0.751379,0.399074,-1.000000,0.265375,-0.736895,0.230265,-0.987763,0.214979,-0.720158,0.229622,-0.594243,0.134239,-0.754533,0.104655,-0.987720,0.108300,-0.645617,0.134339,-0.560034,0.011292,-0.740377,-0.021642,-0.936649,-0.002653,-0.606836,0.031325,-0.524104,-0.115862,-0.697965,-0.137194,-0.839108,-0.108033,-0.605543,-0.076069,-0.525251
A,0.000000,0.000000,0.195987,-0.072358,0.347696,-0.380095,0.376421,-0.750042,0.402754,-1.000000,0.267417,-0.735289,0.230711,-0.985030,0.213416,-0.719174,0.229974,-0.593158,0.136204,-0.754738,0.104410,-0.989106,0.107336,-0.645782,0.137642,-0.556186,0.013127,-0.741921,-0.023197,-0.934503,-0.003919,-0.605435,0.035577,-0.519875,-0.113144,-0.700305,-0.138301,-0.836957,-0.109159,-0.605385,-0.073490,-0.525806
A,0.000000,0.000000,0.194588,-0.068943,0.345015,-0.378076,0.373996,-0.750082,0.399500,-1.000000,0.265257,-0.737169,0.228217,-0.985675,0.212298,-0.719320,0.227824,-0.594002,0.134192,-0.757093,0.101535,-0.987509,0.106848,-0.644162,0.136223,-0.556233,0.011672,-0.743452,-0.025565,-0.933598,-0.003682,-0.604293,0.034728,-0.519840,-0.114206,-0.700031,-0.140177,-0.833265,-0.108882,-0.601149,-0.073024,-0.523773
A,0.000000,0.000000,0.194032,-0.073584,0.342341,-0.380411,0.370565,-0.750034,0.395856,-1.000000,0.261979,-0.739046,0.226338,-0.991596,0.209486,-0.727868,0.223439,-0.596584,0.130987,-0.758051,0.098900,-0.993022,0.103762,-0.649797,0.132807,-0.556222,0.007724,-0.743421,-0.028756,-0.939690,-0.006671,-0.610530,0.030601,-0.519838,-0.118845,-0.698212,-0.144484,-0.839774,-0.111635,-0.608118,-0.075812,-0.525096
A,0.000000,0.000000,0.193544,-0.072608,0.342352,-0.379302,0.371466,-0.749908,0.396558,-1.000000,0.262288,-0.739315,0.225887,-0.988636,0.210523,-0.724320,0.225070,-0.593933,0.131644,-0.757683,0.099486,-0.991518,0.104610,-0.647683,0.132611,-0.553322,0.008660,-0.742428,-0.027835,-0.936329,-0.006229,-0.606240,0.030297,-0.516411,-0.118097,-0.696271,-0.143340,-0.836443,-0.111356,-0.604577,-0.075526,-0.522620
A,0.000000,0.000000,0.193594,-0.077090,0.339921,-0.382872,0.368328,-0.750989,0.393239,-1.000000,0.260599,-0.736466,0.223065,-0.988858,0.208064,-0.722894,0.223420,-0.596114,0.130332,-0.754261,0.097700,-0.990931,0.103400,-0.648469,0.132096,-0.561962,0.008204,-0.739059,-0.027652,-0.933558,-0.005395,-0.606055,0.032007,-0.521529,-0.116853,-0.693286,-0.143894,-0.835837,-0.110450,-0.606766,-0.073921,-0.525200
A,0.000000,0.000000,0.195089,-0.076133,0.342124,-0.383244,0.370786,-0.752216,0.395375,-1.000000,0.260648,-0.738146,0.224190,-0.990711,0.209762,-0.724996,0.225486,-0.600441,0.130975,-0.754492,0.098978,-0.992658,0.105737,-0.648698,0.134402,-0.563102,0.008975,-0.738993,-0.026497,-0.934103,-0.003640,-0.605435,0.033592,-0.522503,-0.115980,-0.695151,-0.142931,-0.838553,-0.109789,-0.609745,-0.073851,-0.529419
A,0.000000,0.000000,0.193724,-0.077299,0.341691,-0.382249,0.371551,-0.749964,0.395823,-1.000000,0.259762,-0.738354,0.224549,-0.989887,0.208981,-0.725943,0.222917,-0.598205,0.130550,-0.756432,0.099761,-0.995535,0.104455,-0.653094,0.131999,-0.560558,0.008578,-0.740615,-0.026577,-0.935586,-0.004523,-0.608220,0.031517,-0.520219,-0.117136,-0.693982,-0.142801,-0.838263,-0.110102,-0.609887,-0.075063,-0.528040
A,0.000000,0.000000,0.194979,-0.084896,0.341470,-0.389881,0.367169,-0.751978,0.391543,-1.000000,0.259064,-0.738504,0.223922,-0.988452,0.209219,-0.727853,0.222879,-0.597603,0.129353,-0.755185,0.099309,-0.990453,0.104551,-0.650845,0.131924,-0.556472,0.007125,-0.739047,-0.027298,-0.933829,-0.004868,-0.608237,0.031334,-0.518251,-0.118932,-0.691449,-0.143723,-0.837894,-0.110062,-0.611179,-0.074230,-0.527001
A,0.000000,0.000000,0.195130,-0.073875,0.343978,-0.385987,0.369951,-0.754448,0.394948,-1.000000,0.260756,-0.734654,0.225013,-0.986839,0.210774,-0.721216,0.225404,-0.591668,0.130294,-0.750508,0.099422,-0.986880,0.104985,-0.644142,0.131566,-0.550137,0.008317,-0.733580,-0.026778,-0.930666,-0.004768,-0.601650,0.029899,-0.511784,-0.117337,-0.688252,-0.142124,-0.835356,-0.111080,-0.603862,-0.077728,-0.520337
A,0.000000,0.000000,0.194635,-0.075289,0.343167,-0.385306,0.369575,-0.753413,0.393898,-1.000000,0.259885,-0.736354,0.224359,-0.987446,0.210176,-0.723389,0.224769,-0.593737,0.130249,-0.752190,0.099275,-0.987712,0.104696,-0.645716,0.131704,-0.550604,0.008365,-0.735166,-0.026885,-0.930955,-0.005082,-0.602680,0.029666,-0.511895,-0.117777,-0.688313,-0.142392,-0.834131,-0.110834,-0.603857,-0.077519,-0.520693
A,0.000000,0.000000,0.195644,-0.080876,0.343826,-0.386002,0.371126,-0.752775,0.395418,-1.000000,0.261819,-0.737487,0.224175,-0.987390,0.210539,-0.725143,0.226273,-0.596627,0.131186,-0.754121,0.097921,-0.987228,0.104652,-0.646224,0.134316,-0.556636,0.009093,-0.737909,-0.027446,-0.934831,-0.004974,-0.607428,0.033029,-0.519390,-0.117180,-0.692254,-0.143418,-0.836642,-0.110606,-0.606906,-0.074129,-0.524088
A,0.000000,0.000000,0.194669,-0.072933,0.343675,-0.383779,0.370766,-0.752114,0.394125,-1.000000,0.260154,-0.737497,0.224198,-0.982849,0.209846,-0.717418,0.226385,-0.589685,0.130500,-0.754224,0.098300,-0.983802,0.103769,-0.641384,0.132261,-0.550759,0.008675,-0.739223,-0.027206,-0.933144,-0.006290,-0.602923,0.029640,-0.512989,-0.117707,-0.695258,-0.141533,-0.832739,-0.111622,-0.600139,-0.078572,-0.519285
A,0.000000,0.000000,0.193642,-0.072604,0.342108,-0.381663,0.367945,-0.751667,0.392687,-1.000000,0.259156,-0.741710,0.220961,-0.992455,0.202919,-0.725899,0.217875,-0.597776,0.126527,-0.758256,0.091709,-0.989765,0.097088,-0.642799,0.127594,-0.556714,0.003292,-0.743620,-0.036098,-0.935900,-0.013596,-0.605239,0.025769,-0.521857,-0.122866,-0.699447,-0.151543,-0.837435,-0.118940,-0.605251,-0.081879,-0.526841
A,0.000000,0.000000,0.193506,-0.074853,0.340493,-0.382645,0.367469,-0.751189,0.393428,-1.000000,0.257905,-0.738692,0.220607,-0.990811,0.203328,-0.725511,0.217042,-0.594068,0.126817,-0.755229,0.091580,-0.988870,0.097928,-0.643793,0.128515,-0.549700,0.004210,-0.739886,-0.034802,-0.935273,-0.011576,-0.605223,0.028031,-0.514918,-0.121546,-0.694009,-0.149680,-0.833894,-0.115586,-0.602734,-0.077877,-0.519659
A,0.000000,0.000000,0.196920,-0.073671,0.344512,-0.384437,0.371684,-0.753921,0.398647,-1.000000,0.259258,-0.740911,0.223929,-0.994088,0.207958,-0.728300,0.221123,-0.596987,0.127225,-0.756670,0.096373,-0.993061,0.102313,-0.646718,0.130254,-0.552275,0.004440,-0.740567,-0.030973,-0.938269,-0.007948,-0.607576,0.028871,-0.515783,-0.121752,-0.694505,-0.146643,-0.837194,-0.112883,-0.605458,-0.077550,-0.521337
A,0.000000,0.000000,0.196602,-0.074742,0.344434,-0.383244,0.371695,-0.751019,0.396626,-1.000000,0.259345,-0.740118,0.226031,-0.996040,0.208975,-0.729605,0.221170,-0.597214,0.127831,-0.756616,0.097820,-0.995091,0.103240,-0.649410,0.129859,-0.553505,0.005025,-0.740194,-0.029281,-0.939751,-0.006406,-0.609507,0.029210,-0.516797,-0.121874,-0.694123,-0.146047,-0.840592,-0.111659,-0.609095,-0.076435,-0.522228
A,0.000000,0.000000,0.194480,-0.075315,0.341983,-0.384251,0.370189,-0.752534,0.395410,-1.000000,0.260127,-0.740690,0.224706,-0.992204,0.207982,-0.727245,0.221561,-0.596925,0.128479,-0.757654,0.097373,-0.991815,0.101626,-0.646654,0.128654,-0.554993,0.005640,-0.742928,-0.029491,-0.938187,-0.008351,-0.607339,0.027221,-0.518415,-0.121006,-0.698528,-0.144569,-0.841868,-0.113264,-0.608843,-0.080189,-0.525668
A,0.000000,0.000000,0.194843,-0.080818,0.341446,-0.387487,0.367945,-0.752801,0.393488,-1.000000,0.257366,-0.741433,0.222364,-0.993003,0.206520,-0.727075,0.219229,-0.594897,0.126664,-0.757336,0.095261,-0.991355,0.100693,-0.646452,0.127981,-0.551713,0.004172,-0.741939,-0.031008,-0.938179,-0.008708,-0.607656,0.027416,-0.517393,-0.122310,-0.697599,-0.146755,-0.841842,-0.113319,-0.610441,-0.077902,-0.526173
A,0.000000,0.000000,0.196026,-0.082947,0.344110,-0.386078,0.372372,-0.750096,0.396209,-1.000000,0.258897,-0.742676,0.225067,-0.995613,0.206785,-0.733307,0.219679,-0.597830,0.128058,-0.760383,0.097811,-0.997640,0.100345,-0.653463,0.128729,-0.550604,0.005146,-0.745063,-0.029689,-0.941838,-0.008699,-0.613067,0.028628,-0.515265,-0.121090,-0.698538,-0.145893,-0.846171,-0.112561,-0.616567,-0.075967,-0.526646
A,0.000000,0.000000,0.196606,-0.082847,0.343972,-0.387268,0.370281,-0.751585,0.395349,-1.000000,0.258859,-0.741778,0.225413,-0.993400,0.207882,-0.731763,0.219457,-0.596602,0.128312,-0.759398,0.098229,-0.996037,0.101529,-0.652271,0.128974,-0.549615,0.006118,-0.744281,-0.029029,-0.941829,-0.007636,-0.613088,0.029100,-0.515309,-0.120068,-0.698233,-0.145281,-0.845918,-0.111559,-0.616024,-0.074934,-0.527683
A,0.000000,0.000000,0.196231,-0.078261,0.343030,-0.385348,0.368837,-0.752035,0.393675,-1.000000,0.259540,-0.741524,0.224680,-0.993564,0.207478,-0.728917,0.219723,-0.597316,0.128134,-0.759393,0.096567,-0.994014,0.100749,-0.648315,0.128463,-0.553171,0.005094,-0.744569,-0.031385,-0.938808,-0.009356,-0.608903,0.027416,-0.519398,-0.121495,-0.699228,-0.146895,-0.843050,-0.114153,-0.612154,-0.078734,-0.529011
A,0.000000,0.000000,0.195503,-0.077629,0.342084,-0.385332,0.367833,-0.752911,0.390964,-1.000000,0.257696,-0.740829,0.223196,-0.995441,0.206399,-0.730230,0.219237,-0.599726,0.126410,-0.756534,0.095015,-0.992609,0.099094,-0.647375,0.126575,-0.556879,0.004022,-0.740554,-0.031737,-0.937233,-0.010477,-0.608168,0.025558,-0.520475,-0.122016,-0.695388,-0.148274,-0.842591,-0.115536,-0.613264,-0.080092,-0.530260
A,0.000000,0.000000,0.194408,-0.072319,0.341837,-0.380697,0.369513,-0.752013,0.395533,-1.000000,0.258609,-0.740196,0.223497,-0.994117,0.206316,-0.728191,0.219492,-0.599253,0.127240,-0.758290,0.095143,-0.993084,0.099421,-0.646134,0.127570,-0.557086,0.004366,-0.744273,-0.032290,-0.938481,-0.010492,-0.607555,0.026738,-0.522285,-0.122155,-0.701034,-0.148338,-0.842073,-0.115649,-0.610702,-0.079457,-0.531617
A,0.000000,0.000000,0.194012,-0.073911,0.341650,-0.382626,0.370086,-0.751312,0.395854,-1.000000,0.260220,-0.740118,0.224344,-0.990950,0.207027,-0.726401,0.219731,-0.596078,0.128724,-0.757642,0.096670,-0.990176,0.100567,-0.644192,0.128344,-0.554163,0.005664,-0.743117,-0.030582,-0.937469,-0.009739,-0.608325,0.026998,-0.521464,-0.121063,-0.699466,-0.146703,-0.840019,-0.114893,-0.610111,-0.079625,-0.530911
A,0.000000,0.000000,0.195382,-0.074044,0.342319,-0.384438,0.368976,-0.753252,0.395320,-1.000000,0.259060,-0.738584,0.224311,-0.991057,0.208174,-0.722449,0.220974,-0.593129,0.128658,-0.755204,0.097620,-0.988785,0.101960,-0.642741,0.128799,-0.555550,0.005713,-0.740257,-0.028475,-0.933795,-0.008198,-0.602636,0.027269,-0.520651,-0.121028,-0.695604,-0.144548,-0.835841,-0.113431,-0.604711,-0.080344,-0.527161
A,0.000000,0.000000,0.196027,-0.075030,0.343349,-0.385013,0.370565,-0.753774,0.397420,-1.000000,0.259268,-0.738538,0.224121,-0.990932,0.207991,-0.723836,0.220638,-0.593504,0.128847,-0.756281,0.097833,-0.990196,0.102219,-0.643875,0.129535,-0.553423,0.006847,-0.741965,-0.028674,-0.936002,-0.007633,-0.604791,0.028843,-0.518631,-0.119473,-0.698882,-0.144890,-0.839373,-0.112680,-0.607291,-0.077549,-0.527479
A,0.000000,0.000000,0.195939,-0.082871,0.342781,-0.384836,0.369217,-0.750955,0.394233,-1.000000,0.258517,-0.741999,0.224129,-0.993452,0.205892,-0.731051,0.218648,-0.600917,0.128632,-0.761598,0.096991,-0.996619,0.100302,-0.652748,0.129293,-0.559733,0.006156,-0.747281,-0.030760,-0.939795,-0.009157,-0.612637,0.029495,-0.524898,-0.119845,-0.702559,-0.146704,-0.844157,-0.113242,-0.615601,-0.076137,-0.533063
A,0.000000,0.000000,0.196999,-0.080354,0.343943,-0.387149,0.370950,-0.753474,0.396601,-1.000000,0.257863,-0.740061,0.222265,-0.989026,0.206573,-0.727331,0.220104,-0.596489,0.127911,-0.758409,0.096174,-0.993401,0.100991,-0.648711,0.130209,-0.553418,0.005844,-0.743737,-0.030719,-0.937167,-0.008627,-0.609080,0.029531,-0.518808,-0.119799,-0.698647,-0.146531,-0.841157,-0.113220,-0.612148,-0.076084,-0.528048
A,0.000000,0.000000,0.196699,-0.083794,0.343530,-0.388630,0.369681,-0.752877,0.396500,-1.000000,0.258259,-0.740576,0.224182,-0.994046,0.206803,-0.732711,0.219151,-0.600145,0.127613,-0.758755,0.096504,-0.995029,0.100680,-0.652115,0.129435,-0.553507,0.005116,-0.743194,-0.030668,-0.938445,-0.008692,-0.611289,0.029416,-0.518131,-0.120598,-0.697017,-0.147626,-0.843872,-0.113756,-0.615423,-0.076259,-0.528828
A,0.000000,0.000000,0.196542,-0.081899,0.343004,-0.388846,0.368296,-0.753417,0.395589,-1.000000,0.259140,-0.742743,0.223872,-0.994593,0.207048,-0.729498,0.220825,-0.598515,0.128206,-0.760202,0.097075,-0.995448,0.101428,-0.650180,0.129477,-0.555022,0.005742,-0.745592,-0.029953,-0.940322,-0.008103,-0.611032,0.029433,-0.520031,-0.120570,-0.700672,-0.146270,-0.843794,-0.112773,-0.614110,-0.076394,-0.530600
A,0.000000,0.000000,0.196562,-0.079762,0.344074,-0.385267,0.370804,-0.751119,0.394163,-1.000000,0.258178,-0.740901,0.222657,-0.994183,0.207218,-0.728192,0.221675,-0.598677,0.127374,-0.757450,0.096221,-0.993378,0.101785,-0.647935,0.130804,-0.555997,0.005158,-0.742491,-0.030644,-0.937299,-0.007900,-0.608044,0.030316,-0.518569,-0.121119,-0.697941,-0.147859,-0.841647,-0.113503,-0.612078,-0.075782,-0.527862
